brand_a,brand_b,weight
Ganni,Jacquemus,1.21999250133664
Ganni,Staud,1.104755534139361
COS,Uniqlo,1.094315435834535
Celine,Tiffany & Co,0.8888333333333334
Cartier,Tiffany & Co,0.8888333333333334
Cartier,Celine,0.8888333333333334
The Row,Lemaire,0.8196040624873637
COS,Stone Island,0.7543621688165232
Uniqlo,Stone Island,0.7543621688165232
The Row,Tot̻me,0.7141433125311696
Jacquemus,Bottega Veneta,0.6811337111868915
Bottega Veneta,The Row,0.6811337111868915
Jacquemus,The Row,0.6811337111868915
Staud,Jacquemus,0.6753313564538377
The Row,Khaite,0.6696815494242339
Mugler,Coperni,0.5684913646309301
Jacquemus,Mugler,0.5684913646309301
Jacquemus,Coperni,0.5684913646309301
Jacquemus,The Frankie Shop,0.5446611448828025
Ganni,The Frankie Shop,0.5446611448828025
